arrivalDate	stateName	marketName	commodityName	modalPrice	arrivalQuantity
04-08-2023	Punjab	Tanda Urmur	Potato	1400	3953
31-08-2023	Madhya Pradesh	Taal	Wheat	2200	1602
25-10-2023	Madhya Pradesh	Shivpuri	Wheat	2325	4779
12-02-2025	Uttar Pradesh	Bahraich	Potato	1105	4748
25-08-2023	Karnataka	Bangalore	Wheat	4050	2712
25-10-2024	Gujarat	Navsari	Potato	2950	1698
20-05-2025	Uttar Pradesh	Pratapgarh	Potato	1200	3573
04-09-2023	Uttar Pradesh	Gadaura	Tomato	4100	2977
22-02-2025	Himachal Pradesh	Solan	Onion	3300	2306
27-02-2025	Tamilnadu	Sivakasi(Uzhavar Sandhai )	Potato	5000	2469
17-11-2023	 Punjab	Jalalabad	Onion	3500	1587
06-01-2024	Uttar Pradesh	Chaandpur	Potato	800	4675
06-07-2024	Uttar Pradesh	Nawabganj	Potato	2400	2205
20-08-2024	Punjab	Nabha	Potato	1440	3190
24-01-2024	Uttar Pradesh	Mathura	Onion	1900	2917
30-07-2023	West Bengal	Bolpur	Onion	2450	1133
02-10-2024	Maharashtra	Bhusaval	Potato	2800	1094
17-08-2023	Bihar	Tajpur	Onion	2500	4641
19-02-2025	Kerala	Ettumanoor	Onion	6400	777
30-06-2023	Haryana	Gurgaon	Onion	1100	2979
27-07-2024	Himachal Pradesh	Shimla	Onion	3400	3510
11-03-2025	Tamilnadu	Kahithapattarai(Uzhavar Sandhai )	Potato	2500	1332
26-03-2025	Himachal Pradesh	Hamirpur	Potato	1100	4119
23-04-2025	Uttar Pradesh	Muradabad	Potato	1100	647
11-10-2023	Madhya Pradesh	Pachaur	Wheat	2370	1173
17-03-2025	Haryana	Gharaunda	Onion	2500	1589
12-02-2025	Kerala	Ettumanoor	Onion	3800	3070
04-10-2023	Madhya Pradesh	Bankhedi	Wheat	2451	2280
19-03-2024	Uttar Pradesh	Ballia	Potato	1370	425
13-09-2023	Orissa	Rayagada	Potato	1800	1533
17-02-2024	Punjab	Sahnewal	Potato	660	141
06-07-2024	Chhattisgarh	Tiphra	Onion	3100	4753
13-02-2025	Uttar Pradesh	Kosikalan	Onion	1950	3566
13-04-2024	Uttar Pradesh	Khaga	Potato	1575	2512
02-12-2023	Himachal Pradesh	Kangra(Jassour)	Onion	5000	1912
27-09-2024	Tamilnadu	Palanganatham(Uzhavar Sandhai )	Onion	6000	4399
07-12-2024	Tamilnadu	Mayiladuthurai(Uzhavar Sandhai )	Potato	5000	1881
04-06-2025	Himachal Pradesh	Hamirpur	Onion	1800	1590
19-07-2024	Uttar Pradesh	Milak	Onion	3060	1005
21-02-2025	Uttar Pradesh	Gadaura	Onion	2100	3698
04-03-2024	Maharashtra	Kamthi	Onion	2000	553
01-05-2025	Maharashtra	Junnar(Otur)	Potato	1300	3088
23-05-2024	Haryana	Barara	Onion	1300	1189
16-07-2024	Tamilnadu	Thammampati	Onion	4800	4250
13-02-2024	Rajasthan	Rawatsar	Onion	1200	1365
15-05-2024	Uttar Pradesh	Awagarh	Potato	1500	4625
12-07-2023	Madhya Pradesh	Mandla	Wheat	2000	2243
06-06-2023	Uttar Pradesh	Tilhar	Onion	1000	4879
04-12-2024	Tamilnadu	NGO Colony(Uzhavar Sandhai )	Potato	4200	1503
07-12-2023	West Bengal	Chakdah	Onion	4700	832
05-06-2024	Himachal Pradesh	Una	Potato	1800	306
04-04-2025	West Bengal	Barasat	Onion	1800	3646
24-01-2025	Tamilnadu	Mannargudi I(Uzhavar Sandhai )	Potato	4600	3524
19-07-2023	Rajasthan	Kota (F&V)	Onion	850	4956
16-10-2023	Punjab	Rajpura	Onion	2100	1016
28-09-2024	Himachal Pradesh	Muskara	Onion	3850	3718
23-09-2024	Punjab	Sangrur	Potato	1300	1013
28-08-2023	Gujarat	Radhanpur	Wheat	2275	2148
27-01-2024	Kerala	Ettumanoor	Potato	3000	4959
18-11-2023	Himachal Pradesh	Shimla	Onion	5100	731
18-12-2023	Uttar Pradesh	Puwaha	Potato	780	2771
04-06-2024	Delhi	Azadpur	Potato	1509	3180
25-07-2023	Madhya Pradesh	Harda(F&V)	Onion	950	1655
17-08-2024	Tamilnadu	Chidambaram(Uzhavar Sandhai )	Onion	4500	790
19-04-2024	Kerala	Kanjirappally	Onion	2700	1957
23-06-2023	Maharashtra	Shrirampur	Onion	700	1610
17-12-2023	Punjab	Malerkotla	Potato	400	4753
14-01-2024	Uttar Pradesh	Siyana	Onion	1960	2422
20-08-2024	Uttar Pradesh	Muzzafarnagar	Potato	2350	2801
01-03-2025	 Punjab	Fazilka	Potato	1000	2837
11-06-2023	Maharashtra	Phaltan	Wheat	2500	954
28-03-2025	Punjab	Mukerian(Talwara)	Potato	900	4774
08-04-2025	Haryana	Ganaur	Onion	2400	4613
09-03-2024	Haryana	Dabwali	Potato	800	3168
04-02-2025	Haryana	Punhana	Potato	800	4811
01-03-2024	Uttar Pradesh	Fatehpur Sikri	Onion	1600	259
29-09-2023	Rajasthan	Rawatsar	Potato	700	1059
27-03-2025	Kerala	Aroor	Onion	3900	4591
18-05-2024	Haryana	Radaur	Potato	1400	2171
02-12-2024	Karnataka	Shimoga	Onion	6000	628
01-11-2023	Maharashtra	Shirpur	Wheat	2720	3951
04-01-2025	Rajasthan	Sikar	Potato	1500	3523
29-09-2023	Uttar Pradesh	Chutmalpur	Onion	1800	3153
23-08-2024	Haryana	Kosli	Potato	1500	1286
23-01-2025	Tamilnadu	Tirupatthur(Uzhavar Sandhai )	Potato	6000	1981
21-10-2023	Uttar Pradesh	Bijnaur	Potato	1020	4190
22-10-2024	Tamilnadu	Thanjavur(Uzhavar Sandhai )	Potato	5000	482
12-07-2023	Meghalaya	Shillong	Tomato	6500	3483
21-10-2024	Rajasthan	Nimbahera	Onion	2500	4289
20-07-2024	Maharashtra	Pune(Manjri)	Onion	2600	370
14-10-2023	Madhya Pradesh	Ganjbasoda	Wheat	2430	1262
15-04-2025	Punjab	Dharamkot	Potato	1000	2788
08-05-2024	Haryana	Gohana	Onion	1200	1317
08-08-2024	Tamilnadu	Athur(Uzhavar Sandhai )	Potato	5000	2434
16-02-2025	Kerala	Punalur	Potato	3800	1735
30-06-2023	Uttar Pradesh	Fatehpur	Potato	960	1816
12-02-2025	Gujarat	Nadiyad(Piplag)	Potato	950	4562
03-08-2023	Uttar Pradesh	Madhoganj	Wheat	2280	4342
23-11-2023	Haryana	Samalkha	Potato	1000	2638
30-07-2024	Uttar Pradesh	Sandi	Onion	2680	2960
10-03-2025	Uttar Pradesh	Aligarh	Onion	2500	3218
24-09-2023	Uttar Pradesh	Rampurmaniharan	Potato	931	703
26-12-2023	Uttar Pradesh	Sandi	Onion	2065	602
12-01-2024	Gujarat	Kapadvanj	Wheat	2400	4121
25-02-2024	West Bengal	Karimpur	Potato	1220	1066
11-04-2025	Tamilnadu	Edapadi (Uzhavar Sandhai )	Potato	3000	1374
18-03-2024	Rajasthan	Sujangarh	Potato	800	1614
29-05-2025	Uttar Pradesh	Tulsipur	Onion	1240	3505
23-06-2023	Chattisgarh	Kheragarh	Wheat	1850	1398
18-07-2023	Punjab	Rayya	Potato	1300	2315
22-04-2025	Haryana	FerozpurZirkha(Nagina)	Onion	1800	515
20-11-2023	Uttar Pradesh	Naanpara	Wheat	2490	970
09-09-2024	Gujarat	Jetpur(Dist.Rajkot)	Onion	2955	338
11-05-2025	Tamilnadu	Panruti(Uzhavar Sandhai )	Potato	4000	4514
19-07-2024	West Bengal	Dhupguri	Potato	2500	629
01-09-2023	Uttar Pradesh	Ajuha	Potato	1100	503
05-04-2025	Uttar Pradesh	Chitwadagaon	Onion	1710	4091
24-12-2024	West Bengal	Asansol	Potato	2460	1935
08-02-2025	Tamilnadu	Karur(Uzhavar Sandhai )	Potato	5000	3943
02-12-2023	Gujarat	Bilimora	Potato	2400	3430
04-08-2023	Maharashtra	Solapur	Potato	1200	4129
11-12-2023	Kerala	Perumbavoor	Onion	4500	2035
11-07-2023	Uttar Pradesh	Chaandpur	Onion	1450	1621
14-09-2023	Madhya Pradesh	Sanwer	Onion	1300	3230
06-06-2024	Uttar Pradesh	Gonda	Onion	1800	2060
18-09-2023	Maharashtra	Malegaon	Wheat	2752	2945
23-07-2023	West Bengal	Belacoba	Potato	1300	3476
26-12-2023	Assam	Paliakala	Potato	950	3093
24-06-2023	West Bengal	Alipurduar	Potato	1200	1001
22-10-2024	Gujarat	Nadiyad(Piplag)	Onion	3200	3157
11-08-2023	Rajasthan	Madanganj Kishangarh	Onion	2200	4499
08-07-2024	Orissa	Aiginia Mandi	Potato	3500	943
24-01-2025	Tamilnadu	Thanjavur(Uzhavar Sandhai )	Potato	4600	2960
21-01-2025	Gujarat	Ahmedabad(Chimanbhai Patal Market Vasana)	Potato	1200	1501
01-05-2024	Uttar Pradesh	Khaga	Onion	1760	3174
21-02-2025	West Bengal	Jalpaiguri Sadar	Potato	850	2125
05-10-2024	Uttar Pradesh	Dhanaura	Onion	1500	364
21-01-2025	Uttar Pradesh	Sikanderabad	Potato	1100	2369
03-10-2024	Punjab	Ajnala	Onion	2450	859
22-08-2024	Haryana	Sirsa	Onion	3500	3063
03-08-2024	Uttar Pradesh	Mugrabaadshahpur	Potato	2350	3124
06-05-2024	Madhya Pradesh	Agar	Onion	850	1540
29-03-2025	Uttar Pradesh	Ghiraur	Onion	1980	4650
20-10-2023	Manipur	Thoubal	Potato	2750	1860
25-02-2025	Himachal Pradesh	Mandi(Takoli)	Potato	1500	1547
11-10-2024	Kerala	North Paravur	Onion	5800	4939
